representation,Precision,Recall,F1,P@5,P@10,AP,RR
TF-IDF,0.9667,0.0171,0.0336,1.0,0.9667,0.9922,1.0
Binary,0.6333,0.0112,0.022,0.6667,0.6333,0.792,0.8333
